시도,시군구,2015. 08 월,2015. 09 월,2015. 10 월,2015. 11 월,2015. 12 월,2016. 01 월,2016. 02 월,2016. 03 월,2016. 04 월,2016. 05 월,2016. 06 월,2016. 07 월,2016. 08 월,2016. 09 월,2016. 10 월,2016. 11 월,2016. 12 월,2017. 01 월,2017. 02 월,2017. 03 월,2017. 04 월,2017. 05 월,2017. 06 월,2017. 07 월,2017. 08 월,2017. 09 월,2017. 10 월,2017. 11 월,2017. 12 월,2018. 01 월,2018. 02 월,2018. 03 월,2018. 04 월,2018. 05 월,2018. 06 월,2018. 07 월,2018. 08 월,2018. 09 월,2018. 10 월,2018. 11 월,2018. 12 월,2019. 01 월,2019. 02 월,2019. 03 월,2019. 04 월,2019. 05 월,2019. 06 월,2019. 07 월,2019. 08 월,2019. 09 월,2019. 10 월,2019. 11 월,2019. 12 월,2020. 01 월,2020. 02 월,2020. 03 월,2020. 04 월,2020. 05 월,2020. 06 월
인천,계,2918982,2920938,2923030,2924578,2925815,2927195,2928596,2929817,2932141,2933959,2935314,2937217,2938902,2940436,2941793,2942613,2943069,2944009,2944266,2944630,2945305,2946270,2946915,2947803,2948014,2947298,2948098,2948241,2948542,2950771,2951629,2951442,2952476,2953255,2953883,2953841,2953206,2953116,2953333,2953844,2954642,2955916,2956063,2956513,2956700,2957179,2957024,2956828,2956525,2956804,2956984,2957249,2957026,2956119,2954955,2952689,2950972,2950063,2947217
인천,계양,336707,336071,335501,334903,334332,334113,333630,333471,333222,332989,332640,331996,331490,331228,331078,330808,330284,329725,328831,328305,327826,327394,327056,326879,326581,326004,325522,324787,323784,322611,320872,319442,318432,317502,316744,315921,315324,314884,314124,313505,312680,311701,310533,309596,308685,307919,307349,306613,305957,305394,304788,304145,303471,302832,301984,301395,300885,300446,299853
인천,남,405864,405346,405222,405111,404893,404992,405121,405367,405490,405857,406779,410382,413134,414631,415704,416717,417103,417687,417958,418431,418707,419198,419741,420039,420163,420142,420393,420066,419267,417984,418229,418960,419321,419285,419003,418533,,,,,,,,,,,,,,,,,,,,,,,
인천,남동,529104,530224,530648,531121,531395,531799,531760,532105,532714,532691,532325,531586,531114,530896,530865,530707,530982,531364,531022,531129,531490,531923,532184,533655,534860,535591,536428,536546,536578,537009,537496,537795,538360,538568,538709,538976,538847,538936,538352,537923,537161,536394,535628,535853,536255,535978,535401,534871,534056,533560,532805,532703,532704,532569,532257,531960,531526,531031,530416
인천,동,73214,73039,72897,72613,72571,72462,72332,72216,72129,72000,71940,71686,71383,71244,71280,71144,71014,70899,70797,70627,70570,70463,70390,70267,70103,69950,69890,69704,69487,69185,68689,68276,67887,67586,67379,67187,67112,67021,66800,66483,66233,65987,65705,65475,65257,65057,64998,64875,64778,64718,64601,64485,64427,64337,64216,64039,63866,63795,63546
인천,미추홀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418212,417880,417236,416771,416542,416449,415692,415172,414387,413750,413178,412471,411678,410998,410162,409463,408862,408394,407369,406829,406690,406602,406125
인천,부평,557634,557231,556717,556071,555844,555742,555886,555735,555631,555446,555223,554831,554158,553336,551778,550474,549716,549310,548461,548035,548043,547807,547155,545941,544606,543595,542507,541276,539941,538029,536077,534247,532960,531827,530682,529722,528705,528082,526974,525654,524640,523538,522310,521384,520171,518940,518096,517029,515759,514856,513666,512610,511577,510362,508587,506682,505236,503946,502365
인천,서,500966,502245,503384,504161,504606,505098,505677,506411,507313,507989,508640,508805,509152,509283,509642,510315,510733,511029,510962,510968,511127,511403,511691,511969,512229,512300,513314,514585,516017,519898,523049,525204,527845,530274,532706,534164,534972,535652,536683,537758,538596,539528,540595,541423,542157,542624,542989,543075,543108,543108,543417,544198,544556,544608,544465,544034,543994,544010,544136
인천,연수,312716,314018,315662,317462,319052,319852,321136,321502,322436,323489,324103,324231,324586,325886,327338,328069,328627,329157,331068,332000,332333,332694,332849,332901,332948,332709,332576,333321,335142,337657,338832,339099,339191,339395,339618,339927,340128,340287,341918,343854,346359,348812,350438,351086,352172,353827,355218,357244,359955,362254,364383,365499,366550,367321,369588,370796,371396,372206,372566
인천,옹진,20867,20901,20957,20960,20962,20953,20915,20927,21011,21068,21132,21224,21311,21320,21344,21333,21351,21395,21323,21267,21288,21354,21421,21505,21530,21551,21530,21594,21573,21540,21406,21344,21308,21235,21233,21210,21211,21171,21124,21100,21036,21081,20890,20878,20858,20793,20722,20714,20696,20726,20712,20655,20566,20486,20456,20371,20355,20390,20367
인천,중,114442,114406,114509,114568,114493,114518,114491,114523,114572,114749,114886,114752,114798,114826,114900,115106,115249,115419,115702,115773,115824,115907,116232,116406,116659,117063,117442,117773,117999,118114,118263,118401,118437,118860,119056,119429,119902,120362,121162,121883,122499,123529,125332,126707,127766,129243,130022,130806,131385,132052,133293,134318,135135,136013,136879,137587,137994,138535,138783
전남,강진,39208,39062,38923,38832,38758,38516,38421,38308,38240,38190,38100,38024,37975,37912,37839,37780,37753,37667,37583,37462,37398,37328,37251,37185,37094,37046,36987,36910,36868,36815,36727,36675,36699,36692,36637,36553,36405,36350,36294,36241,36144,36023,35886,35830,35755,35653,35599,35569,35504,35451,35420,35376,35286,35226,35163,35161,35054,34977,34913
전남,계,1903609,1904402,1905616,1905373,1908996,1906904,1905700,1905239,1904917,1904449,1904314,1903692,1902883,1902077,1902022,1902260,1903914,1902380,1900797,1899441,1899604,1899088,1898065,1897681,1895974,1895233,1894676,1894426,1896424,1893444,1891308,1890423,1890412,1889726,1887991,1886297,1884285,1882637,1881420,1881518,1882970,1878904,1875862,1874232,1873183,1871718,1870587,1868856,1867094,1865915,1865039,1865588,1868745,1864712,1861894,1859290,1857083,1855945,1854618
전남,고흥,68761,68723,68666,68653,68601,68516,68413,68355,68287,68236,68181,68161,68020,67923,67812,67718,67656,67622,67532,67388,67355,67300,67217,67114,66961,66962,66956,66880,66736,66587,66474,66421,66380,66376,66284,66198,66063,66010,65959,65852,65777,65748,65745,65621,65570,65504,65435,65341,65234,65165,65071,64976,64913,64851,64728,64581,64407,64336,64336
전남,곡성,30805,30762,30745,30674,30672,30672,30650,30637,30623,30696,30737,30660,30605,30559,30532,30480,30400,30349,30205,30282,30461,30421,30365,30341,30220,30205,30127,30095,30131,30084,29996,30128,30206,30208,30121,29995,29904,29814,29742,29680,29624,29577,29462,29606,29530,29420,29368,29313,29208,29112,29034,28977,28887,28773,28696,28569,28455,28386,28340
전남,광양,151896,151837,151986,151910,153587,153357,152705,152444,152318,152272,152131,152090,152104,152132,152299,152640,155580,154164,153416,152939,152798,152702,152647,152565,152330,152289,152364,152741,155857,154028,153346,152954,152888,152865,152685,152529,152221,152077,151898,153140,156564,153879,152737,152266,152104,151968,151834,151729,151542,151240,151019,151592,156750,153335,152304,151372,151751,152576,152016
전남,구례,27148,27228,27258,27300,27308,27269,27192,27276,27251,27250,27257,27258,27207,27205,27180,27236,27412,27252,27112,27079,27064,27087,27102,27117,27089,27052,27046,27029,27525,27218,27056,27022,27024,27061,26966,26874,26797,26719,26645,26603,27117,26810,26634,26541,26474,26357,26308,26210,26151,26126,26105,26128,26563,26214,26086,25976,25895,25851,25826
전남,나주,96450,97284,98688,97694,98182,98516,99410,99768,100067,100129,100312,100622,101306,101796,102669,103621,104376,105080,106182,106827,107348,107897,108393,108936,109159,109356,109588,109784,110110,110313,110750,111214,111667,112010,112356,112584,112770,112847,113238,113536,113839,114129,114460,114709,114815,114744,114608,114525,114495,114476,114500,114522,114664,114671,114618,114516,114380,114469,114448
